,,,Grand Total,,,,,,,
Type,Material,Cut,Volume,Tonnes,FEGL,SILGL,ALGL,MNGL,PGL,PPCGL
Ore,HF,1200.00_35_28,75.71,211.98,61.91,0.53,4.23,0.02,0.11,5.79
Ore,HF,1200.00_34_28,443.67,"1,242.26",61.91,0.60,4.42,0.01,0.09,5.55
Ore,HF,1200.00_34_27,4.75,13.30,61.69,0.66,4.49,0.01,0.09,5.82
Ore,HF,1200.00_33_29,224.90,629.72,61.82,0.59,4.52,0.01,0.09,5.61
Ore,HF,1200.00_33_28,125.00,350.00,61.91,0.62,4.48,0.01,0.08,5.44
Ore,HF,1195.00_36_28,102.35,286.59,61.86,0.50,4.06,0.02,0.13,6.10
Ore,HF,1195.00_36_27,0.47,1.31,61.29,0.93,4.00,0.01,0.09,6.80
Ore,HF,1195.00_35_28,431.68,"1,208.71",61.92,0.51,4.16,0.02,0.12,5.88
Ore,HF,1195.00_35_27,110.27,308.76,61.52,0.70,4.37,0.01,0.10,6.20
Ore,HF,1195.00_35_26,0.12,0.34,61.35,0.89,4.21,0.01,0.09,6.54
Ore,HF,1195.00_34_29,198.48,555.75,61.66,0.52,4.39,0.02,0.11,6.03
Ore,HF,1195.00_34_28,498.11,"1,394.71",61.88,0.57,4.40,0.01,0.10,5.65
Ore,HF,1195.00_34_27,199.50,558.60,61.59,0.66,4.49,0.01,0.10,5.99
Ore,HF,1195.00_33_29,86.50,242.20,61.79,0.58,4.52,0.01,0.10,5.65
Ore,HF,1195.00_33_28,125.00,350.00,61.85,0.60,4.51,0.01,0.09,5.55
Ore,HF,1195.00_26_27,80.58,225.63,61.02,0.39,3.81,0.03,0.12,7.31
Ore,HF,1195.00_26_26,500.00,"1,400.00",60.99,0.40,3.83,0.03,0.12,7.32
Ore,HF,1195.00_26_25,125.00,350.00,61.01,0.56,3.73,0.03,0.11,7.26
Ore,HF,1195.00_25_26,369.50,"1,034.61",60.93,0.69,3.65,0.03,0.12,7.35
Ore,HF,1194.79_39_30,1.75,4.91,61.84,0.72,3.26,0.02,0.14,6.98
Ore,HF,1193.50_24_26,0.27,0.77,60.85,1.30,3.18,0.04,0.14,7.43
Ore,HF,1192.63_40_30,0.61,1.71,62.17,0.75,2.97,0.02,0.14,6.83
Ore,HF,1190.90_16_23,3.64,10.18,61.92,2.15,0.96,0.14,0.09,7.71
Ore,HF,1190.00_40_29,8.55,23.95,62.07,0.76,3.05,0.02,0.14,6.89
Ore,HF,1190.00_39_29,5.22,14.62,62.05,0.74,3.07,0.02,0.14,6.90
Ore,HF,1190.00_38_29,101.02,282.85,61.21,0.81,3.69,0.02,0.09,7.28
